t,y,q
0.0,-0.11572450244162577,1.0
0.00048828125,-0.11877005872543779,1.0
0.0009765625,-0.11401861636732193,1.0
0.00146484375,-0.09970891958037317,1.0
0.001953125,-0.08269647606946796,1.0
0.00244140625,-0.06424764405707066,1.0
0.0029296875,-0.053243093868493824,1.0
0.00341796875,-0.049917613307289985,1.0
0.00390625,-0.06065267165895656,1.0
0.00439453125,-0.0803459039548608,1.0
0.0048828125,-0.11027456071697427,1.0
0.00537109375,-0.1393947486916854,1.0
0.005859375,-0.1662334411333768,1.0
0.00634765625,-0.1781251730785224,1.0
0.0068359375,-0.1771939947734525,1.0
0.00732421875,-0.1550897314130211,1.0
0.0078125,-0.12296902323200185,1.0
0.00830078125,-0.07859290040143542,1.0
0.0087890625,-0.041683242460417706,1.0
0.00927734375,-0.010497584128810737,1.0
0.009765625,-0.0065497032478449525,1.0
0.01025390625,-0.019058301980173296,1.0
0.0107421875,-0.06233195454350322,1.0
0.01123046875,-0.11557192551960944,1.0
0.01171875,-0.17209114614414223,1.0
0.01220703125,-0.23390090417787077,1.0
0.0126953125,-0.2319982455748925,1.0
0.01318359375,-0.26984200024501026,1.0
0.013671875,-0.1829763768082056,1.0
0.01416015625,-0.139177849621231,1.0
0.0146484375,-0.08513101711526194,1.0
0.01513671875,0.044442107631754164,1.0
0.015625,0.06681817846833017,1.0
0.01611328125,0.019443998750637848,1.0
0.0166015625,0.03150136844320274,1.0
0.01708984375,-0.026583474903929823,1.0
0.017578125,-0.2154419050642413,1.0
0.01806640625,-0.36916425456105545,1.0
0.0185546875,-0.37803521764111747,1.0
0.01904296875,-0.35109753534338,1.0
0.01953125,-0.3686108988611344,1.0
0.02001953125,-0.340156303978842,1.0
0.0205078125,-0.14112467408953325,1.0
0.02099609375,0.17524970278236354,1.0
0.021484375,0.4196324701140142,1.0
0.02197265625,0.44585577864501946,1.0
0.0224609375,0.28330423461196635,1.0
0.02294921875,0.06560684855010444,1.0
0.0234375,-0.10295965627867233,1.0
0.02392578125,-0.23629246992754083,1.0
0.0244140625,-0.40906680870967543,1.0
0.02490234375,-0.6563538877075095,1.0
0.025390625,-0.8933923045739808,1.0
0.02587890625,-0.9517362302196525,1.0
0.0263671875,-0.6744434333677446,1.0
0.02685546875,-0.036553744448893526,1.0
0.02734375,0.812681891873147,1.0
0.02783203125,1.580806646683487,1.0
0.0283203125,1.9499004113497094,1.0
0.02880859375,1.6984221684006822,1.0
0.029296875,0.8033884757845214,1.0
0.02978515625,-0.542919621778155,1.0
0.0302734375,-1.978294291826714,1.0
0.03076171875,-3.085074955285779,1.0
0.03125,-3.508516738004399,1.0
0.03173828125,-3.067040512218864,1.0
0.0322265625,-1.7991489270864727,1.0
0.03271484375,0.03879626067446342,1.0
0.033203125,2.042834634361445,1.0
0.03369140625,3.754925039191404,1.0
0.0341796875,4.776810251679481,1.0
0.03466796875,4.854326349722629,1.0
0.03515625,3.935735298522128,1.0
0.03564453125,2.172524030833977,1.0
0.0361328125,-0.11295619688579239,1.0
0.03662109375,-2.503066378772135,1.0
0.037109375,-4.565102537903852,1.0
0.03759765625,-5.938340207517199,1.0
0.0380859375,-6.391520688459064,1.0
